strain	virus	date	country	division	location	host_type	length	lineage	authors	source
OR802173.1	Influenza A virus	2023-01-10	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802180.1	Influenza A virus	2022-01-20	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802187.1	Influenza A virus	2022-02-04	Brazil			Sus scrofa	1701	3	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802212.1	Influenza A virus	2022-02-24	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802219.1	Influenza A virus	2022-05-19	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802285.1	Influenza A virus	2020-05-13	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802290.1	Influenza A virus	2020-05-20	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802296.1	Influenza A virus	2020-05-20	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802306.1	Influenza A virus	2020-06-15	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802311.1	Influenza A virus	2020-06-25	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802321.1	Influenza A virus	2020-07-03	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802331.1	Influenza A virus	2020-07-16	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802336.1	Influenza A virus	2020-07-16	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802341.1	Influenza A virus	2020-07-16	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802405.1	Influenza A virus	2021-01-13	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802411.1	Influenza A virus	2021-02-24	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802418.1	Influenza A virus	2021-02-25	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802430.1	Influenza A virus	2021-03-18	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802448.1	Influenza A virus	2021-04-23	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802454.1	Influenza A virus	2022-01-20	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802467.1	Influenza A virus	2022-02-04	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802472.1	Influenza A virus	2022-02-10	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802494.1	Influenza A virus	2022-04-14	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802507.1	Influenza A virus	2022-05-19	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802534.1	Influenza A virus	2021-05-31	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802545.1	Influenza A virus	2021-07-07	Brazil			Sus scrofa	1701	6B.1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802551.1	Influenza A virus	2021-07-27	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802563.1	Influenza A virus	2021-07-29	Brazil			Sus scrofa	1701	6B.1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802581.1	Influenza A virus	2020-08-20	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802617.1	Influenza A virus	2020-12-09	Brazil			Sus scrofa	1701	6B.1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802624.1	Influenza A virus	2020-11-23	Brazil			Sus scrofa	1701	6B.1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802631.1	Influenza A virus	2023-01-10	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802879.1	Influenza A virus	2022-08-25	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802935.1	Influenza A virus	2021-04-26	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
OR802967.1	Influenza A virus	2022-10-07	Brazil			Sus scrofa	1701	1	Schaefer,R., Cantao,M.E., Gava,D., Tochetto,C.	ncbi
PV875989.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV875990.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV875991.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV875992.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV875993.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV875994.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV875995.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV875996.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV875997.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV875998.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV875999.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876000.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876001.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876002.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876003.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876004.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876005.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876006.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876007.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876008.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876011.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876012.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876013.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV876014.1	Influenza A virus	2023-04-13	Brazil	Minas Gerais		Sus scrofa	1701	1	Costa,E.A., Aguilar,N.R., Santos,B.S.A.S., Viala,V.L.	ncbi
PV700029.1	Influenza A virus	2020-09-09	Brazil	Espirito Santo		Sus scrofa	1779	6B.1A.5b	Schaefer,R., Cantao,M.E., Tochetto,C.	ncbi
PV700030.1	Influenza A virus	2020-09-17	Brazil	Mato Grosso		Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Tochetto,C.	ncbi
PV700031.1	Influenza A virus	2021-04-15	Brazil	Santa Catarina		Sus scrofa	1701	6B.1A.2	Schaefer,R., Cantao,M.E., Tochetto,C.	ncbi
PQ451861.1	Influenza A virus	2022-09-11	Brazil	Parana		Homo sapiens	1701	1	Resende,P.C., Motta,F.C., Pereira,E.C., Ogrzewalska,M., Lopes,J., Caetano,B., Appolinario,L.R., Mendonca,A., Rediger,I., Debur,M.C.R., Becker,G.N., Rocha,A.S., Silva,B.M., Carvalho,J.M., Pinto,L.M., Arantes,I., Guimaraes,V., Irina Riediger,I., Siqueira,M.	ncbi
PQ451892.1	Influenza A virus	2023-12-16	Brazil	Parana		Homo sapiens	1753	1	Resende,P.C., Motta,F.C., Pereira,E.C., Ogrzewalska,M., Lopes,J., Caetano,B., Appolinario,L.R., Mendonca,A., Rediger,I., Debur,M.C.R., Becker,G.N., Rocha,A.S., Silva,B.M., Carvalho,J.M., Pinto,L.M., Arantes,I., Guimaraes,V., Irina Riediger,I., Siqueira,M.	ncbi
PQ451902.1	Influenza A virus	2021-02-16	Brazil	Parana		Homo sapiens	1701	1	Resende,P.C., Motta,F.C., Pereira,E.C., Ogrzewalska,M., Lopes,J., Caetano,B., Appolinario,L.R., Mendonca,A., Rediger,I., Debur,M.C.R., Becker,G.N., Rocha,A.S., Silva,B.M., Carvalho,J.M., Pinto,L.M., Arantes,I., Guimaraes,V., Irina Riediger,I., Siqueira,M.	ncbi
PQ240633.1	Influenza A virus	2015-03-11	Brazil			Sus scrofa	1567	1	Lopes,S., Anderson,T.K., Schaefer,R., Tochetto,C., Gava,D., Cantao,M.E., Ciacci-Zanella,J.R., Vincent-Baker,A.L., Lewis,N.S.	ncbi
